Post ID,Platform,Post Date,Post Type,Content Theme,Caption,Hashtags Used,Impressions,Reach,Likes,Comments,Shares,Saves,Profile Visits,Link Clicks,Engagement Rate %,Follower Growth,Sentiment Score,AI Content Score,Best Posting Time,Campaign Name
POST001,Instagram,2024-05-05,Reel,Motivational,This is why your hashtags aren't working,#DigitalMarketing #SocialMedia #ContentStrategy,30756,18203,469,91,13,78,1738,65,3.58,10,0.18,5.0,7:00 PM,Retargeting Campaign
POST002,LinkedIn,2024-01-04,Story,Motivational,Meet the team behind the content strategy 👋,#MarketingAnalytics #ContentMarketing #Viral,22426,17031,1443,147,41,113,1970,781,10.24,167,0.19,5.9,9:00 AM,Brand Awareness Q1
POST003,Twitter/X,2024-07-12,Video,Promotional,We just hit 10K followers! Thank you for the love 🎉,#AIMarketing #DataDriven #Analytics,11828,8464,1337,321,94,101,731,35,21.89,18,0.66,8.4,12:00 PM,Retargeting Campaign
POST004,Facebook,2024-03-24,Story,Product Showcase,"Tips to write captions that convert, not just scroll",#InfluencerMarketing #ROI #CampaignStrategy,50020,32842,5540,551,720,149,2505,1300,21.19,82,0.55,5.0,9:00 AM,Summer Engagement Drive
POST005,Facebook,2024-01-17,Reel,User Generated Content,"Tips to write captions that convert, not just scroll",#ContentCreator #InstagramMarketing #LinkedInTips,42847,28722,592,59,74,115,2950,644,2.92,103,0.66,6.0,9:00 AM,Festive Season Campaign
POST006,LinkedIn,2024-10-26,Text Post,Motivational,Did you know? 80% of engagement happens within the first hour of posting,#ContentCreator #InstagramMarketing #LinkedInTips,57655,47239,6593,746,226,286,4184,2021,16.62,41,0.74,8.9,1:00 PM,Product Launch Wave 1
POST007,Twitter/X,2024-09-27,Story,Event Highlight,"Tips to write captions that convert, not just scroll",#DigitalMarketing #SocialMedia #ContentStrategy,34453,28986,144,12,19,27,1102,1574,0.7,169,0.19,6.2,9:00 AM,Festive Season Campaign
POST008,Instagram,2024-11-23,Text Post,Motivational,Meet the team behind the content strategy 👋,#SocialMediaMarketing #GrowthHacking #Branding,68040,49852,2554,387,84,279,4354,2,6.63,301,0.38,3.6,7:00 PM,Brand Awareness Q1
POST009,LinkedIn,2024-02-13,Video,Promotional,Poll: which content format do you prefer?,#AIMarketing #DataDriven #Analytics,65199,51820,8777,520,264,1354,3903,2251,21.06,79,0.33,9.0,7:00 PM,Lead Gen Campaign
POST010,Twitter/X,2024-08-12,Text Post,Product Showcase,We just hit 10K followers! Thank you for the love 🎉,#DigitalMarketing #SocialMedia #ContentStrategy,69339,47528,4111,235,67,349,182,2409,10.02,278,0.3,4.9,7:00 PM,Product Launch Wave 1
POST011,Instagram,2024-09-20,Carousel,Promotional,Poll: which content format do you prefer?,#AIMarketing #DataDriven #Analytics,32695,20713,2038,114,278,70,2348,1180,12.07,237,0.31,6.5,12:00 PM,Product Launch Wave 1
POST012,Twitter/X,2024-07-29,Carousel,Industry News,Industry insight: social media trends to watch in 2025,#AIMarketing #DataDriven #Analytics,62713,50744,937,177,27,18,3308,2982,2.28,168,0.78,4.2,10:00 AM,Festive Season Campaign
POST013,Twitter/X,2024-08-24,Image,Motivational,Real talk: what consistent posting did for our brand in 6 months,#ContentCreator #InstagramMarketing #LinkedInTips,34242,27816,667,118,72,28,217,1335,3.18,271,0.81,9.6,1:00 PM,Organic Growth Sprint
POST014,Twitter/X,2024-01-31,Image,Industry News,Industry insight: social media trends to watch in 2025,#SocialMediaMarketing #GrowthHacking #Branding,23079,15317,1649,140,239,235,594,433,14.77,279,0.66,6.6,7:00 PM,Brand Awareness Q1
POST015,Instagram,2024-01-30,Text Post,Product Showcase,Real talk: what consistent posting did for our brand in 6 months,#InfluencerMarketing #ROI #CampaignStrategy,8072,5854,564,140,22,10,530,41,12.57,90,0.16,3.9,12:00 PM,Summer Engagement Drive
POST016,Instagram,2024-08-02,Video,Promotional,This one change tripled our engagement rate. Screenshot this.,#StartupMarketing #B2BMarketing #LeadGeneration,87663,63564,8615,1300,536,421,5496,2933,17.1,155,0.3,6.0,6:00 PM,Product Launch Wave 1
POST017,Instagram,2024-02-07,Story,Promotional,This one change tripled our engagement rate. Screenshot this.,#DigitalMarketing #SocialMedia #ContentStrategy,71968,44184,2222,140,180,38,2011,1513,5.84,140,0.23,8.8,9:00 AM,Product Launch Wave 1
POST018,LinkedIn,2024-02-24,Carousel,Promotional,Here's why your content isn't performing (and how to fix it),#MarketingTips #BrandGrowth #Engagement,74012,44158,2358,220,177,107,5205,1081,6.48,253,0.52,9.2,1:00 PM,Lead Gen Campaign
POST019,Instagram,2024-03-07,Reel,Product Showcase,Did you know? 80% of engagement happens within the first hour of posting,#DigitalMarketing #SocialMedia #ContentStrategy,85007,71740,2697,457,284,440,168,916,5.41,33,0.9,7.9,6:00 PM,Festive Season Campaign
POST020,Twitter/X,2024-06-06,Image,Educational,Poll: which content format do you prefer?,#ContentCreator #InstagramMarketing #LinkedInTips,49295,40406,6571,86,922,735,1730,1022,20.58,47,0.4,7.0,7:00 PM,Festive Season Campaign
POST021,LinkedIn,2024-04-01,Story,Educational,Real talk: what consistent posting did for our brand in 6 months,#AIMarketing #DataDriven #Analytics,45040,35343,3422,826,256,276,1314,442,13.52,190,0.84,8.9,10:00 AM,Community Building
POST022,Facebook,2024-01-13,Image,User Generated Content,Your questions answered: social media analytics edition,#MarketingAnalytics #ContentMarketing #Viral,88011,53505,5428,575,73,574,2886,2627,12.43,255,0.44,9.7,8:00 AM,Product Launch Wave 1
POST023,Facebook,2024-01-20,Image,Motivational,Poll: which content format do you prefer?,#DigitalMarketing #SocialMedia #ContentStrategy,15708,11450,757,85,57,133,246,394,9.01,290,0.26,3.8,7:00 PM,Community Building
POST024,Twitter/X,2024-11-15,Reel,Product Showcase,Did you know? 80% of engagement happens within the first hour of posting,#AIMarketing #DataDriven #Analytics,42645,31941,1070,158,131,82,2741,836,4.51,162,0.44,5.4,1:00 PM,Retargeting Campaign
