CommentID,PostID,CommentText
CMT0001,POST042,Waste of time honestly.
CMT0002,POST084,"This is exactly what I needed today, thanks!"
CMT0003,POST013,"This is so helpful, thank you for sharing!"
CMT0004,POST117,"Interesting, will look into this more."
CMT0005,POST012,"Love this content, keep it coming!"
CMT0006,POST031,Best post I've seen on this topic.
CMT0007,POST008,Pretty disappointed with this post.
CMT0008,POST029,Seen this before but still relevant.
CMT0009,POST008,"This is fine, nothing groundbreaking though."
CMT0010,POST007,This didn't really help me at all.
CMT0011,POST072,"Not impressed, seen better content elsewhere."
CMT0012,POST054,"Love this content, keep it coming!"
CMT0013,POST074,"Absolutely amazing post, learned a lot."
CMT0014,POST014,Not sure how this applies to my situation.
CMT0015,POST048,"Love this content, keep it coming!"
CMT0016,POST073,"This made my day, great work!"
CMT0017,POST064,"This is fine, nothing groundbreaking though."
CMT0018,POST100,"Super inspiring, can't wait for more like this."
CMT0019,POST119,Good to know.
CMT0020,POST032,This feels repetitive and boring.
CMT0021,POST011,Makes sense.
CMT0022,POST064,I disagree with most of this.
CMT0023,POST037,"Okay, noted."
CMT0024,POST016,Thanks for the update.
CMT0025,POST097,"Incredible breakdown, very easy to understand."
CMT0026,POST054,"Love this content, keep it coming!"
CMT0027,POST098,I see what you mean.
CMT0028,POST044,Seen this before but still relevant.
CMT0029,POST064,Will check this out later.
CMT0030,POST009,"Not impressed, seen better content elsewhere."
CMT0031,POST061,"Okay, noted."
CMT0032,POST008,Good to know.
CMT0033,POST083,Will check this out later.
CMT0034,POST037,I see what you mean.
CMT0035,POST003,This is misleading information.
CMT0036,POST022,Will check this out later.
CMT0037,POST008,"Such valuable insights, saved for later."
CMT0038,POST017,"This is fine, nothing groundbreaking though."
CMT0039,POST051,I disagree with most of this.
CMT0040,POST011,Best post I've seen on this topic.
CMT0041,POST071,"Absolutely amazing post, learned a lot."
CMT0042,POST105,"This is exactly what I needed today, thanks!"
CMT0043,POST036,I see what you mean.
CMT0044,POST088,This feels repetitive and boring.
CMT0045,POST020,"Absolutely amazing post, learned a lot."
CMT0046,POST030,"Interesting, will look into this more."
CMT0047,POST063,I expected more from this content.
CMT0048,POST034,"Absolutely amazing post, learned a lot."
CMT0049,POST054,Seen this before but still relevant.
CMT0050,POST073,"Absolutely amazing post, learned a lot."
CMT0051,POST089,This doesn't add any real value.
CMT0052,POST084,"Interesting, will look into this more."
CMT0053,POST059,The quality of this post has gone down.
CMT0054,POST051,Best post I've seen on this topic.
CMT0055,POST014,"This is fine, nothing groundbreaking though."
CMT0056,POST008,"This made my day, great work!"
CMT0057,POST057,You guys are killing it with this content!
CMT0058,POST077,"This is so helpful, thank you for sharing!"
CMT0059,POST073,"Love this content, keep it coming!"
CMT0060,POST047,"Okay, noted."
CMT0061,POST112,Best post I've seen on this topic.
CMT0062,POST020,I see what you mean.
CMT0063,POST078,"Love this content, keep it coming!"
CMT0064,POST015,I disagree with most of this.
CMT0065,POST062,"Okay, noted."
CMT0066,POST019,You guys are killing it with this content!
CMT0067,POST095,"Absolutely amazing post, learned a lot."
CMT0068,POST067,"This is exactly what I needed today, thanks!"
CMT0069,POST047,"This is exactly what I needed today, thanks!"
CMT0070,POST118,"This is exactly what I needed today, thanks!"
CMT0071,POST039,Pretty disappointed with this post.
CMT0072,POST090,The quality of this post has gone down.
CMT0073,POST047,This is misleading information.
CMT0074,POST099,"This is exactly what I needed today, thanks!"
CMT0075,POST100,Not sure how this applies to my situation.
CMT0076,POST079,This feels repetitive and boring.
CMT0077,POST104,Best post I've seen on this topic.
CMT0078,POST095,This feels repetitive and boring.
CMT0079,POST067,"Interesting, will look into this more."
CMT0080,POST004,I disagree with most of this.
CMT0081,POST034,"Super inspiring, can't wait for more like this."
CMT0082,POST045,You guys are killing it with this content!
CMT0083,POST047,"Love this content, keep it coming!"
CMT0084,POST030,I see what you mean.
CMT0085,POST027,Seen this before but still relevant.
CMT0086,POST108,You guys are killing it with this content!
CMT0087,POST103,"Okay, noted."
CMT0088,POST117,"This made my day, great work!"
CMT0089,POST062,Waste of time honestly.
CMT0090,POST102,"Okay, noted."
CMT0091,POST103,Waste of time honestly.
CMT0092,POST060,"Love this content, keep it coming!"
CMT0093,POST093,"Absolutely amazing post, learned a lot."
CMT0094,POST004,"Incredible breakdown, very easy to understand."
CMT0095,POST104,Seen this before but still relevant.
CMT0096,POST106,Will check this out later.
CMT0097,POST085,I expected more from this content.
CMT0098,POST071,"Interesting, will look into this more."
CMT0099,POST002,Pretty disappointed with this post.
CMT0100,POST068,Thanks for the update.
CMT0101,POST056,This feels repetitive and boring.
CMT0102,POST106,This didn't really help me at all.
CMT0103,POST033,"This is exactly what I needed today, thanks!"
CMT0104,POST031,This is misleading information.
CMT0105,POST034,Thanks for the update.
